service,zone,weight_kg,price_eur,package_type
EXPRESS_SAVER,3,0.0,9.12,Env
EXPRESS_SAVER,4,0.0,12.62,Env
EXPRESS_SAVER,5,0.0,15.07,Env
EXPRESS_SAVER,8,0.0,23.49,Env
EXPRESS_SAVER,51,0.0,9.67,Env
EXPRESS_SAVER,52,0.0,9.98,Env
EXPRESS_SAVER,505,0.0,91.65,Env
EXPRESS_SAVER,6,0.0,17.51,Env
EXPRESS_SAVER,7,0.0,19.18,Env
EXPRESS_SAVER,8,0.0,23.49,Env
EXPRESS_SAVER,9,0.0,13.21,Env
EXPRESS_SAVER,10,0.0,15.68,Env
EXPRESS_SAVER,11,0.0,18.76,Env
EXPRESS_SAVER,12,0.0,23.2,Env
EXPRESS_SAVER,13,0.0,23.95,Env
EXPRESS_SAVER,703,0.0,91.65,Env
EXPRESS_SAVER,11,0.0,14.43,Env
EXPRESS_SAVER,12,0.0,15.47,Env
EXPRESS_SAVER,13,0.0,15.96,Env
EXPRESS_SAVER,703,0.0,9.16,Env
EXPRESS_SAVER,6,0.5,17.74,Doc
EXPRESS_SAVER,7,0.5,20.11,Doc
EXPRESS_SAVER,8,0.5,24.17,Doc
EXPRESS_SAVER,9,0.5,13.87,Doc
EXPRESS_SAVER,10,0.5,17.2,Doc
EXPRESS_SAVER,11,0.5,18.97,Doc
EXPRESS_SAVER,12,0.5,23.71,Doc
EXPRESS_SAVER,13,0.5,24.52,Doc
EXPRESS_SAVER,703,0.5,106.45,Doc
EXPRESS_SAVER,11,0.5,14.59,Doc
EXPRESS_SAVER,12,0.5,15.8,Doc
EXPRESS_SAVER,13,0.5,16.35,Doc
EXPRESS_SAVER,703,0.5,10.64,Doc
EXPRESS_SAVER,6,1.0,21.04,Doc
EXPRESS_SAVER,7,1.0,22.14,Doc
EXPRESS_SAVER,8,1.0,29.9,Doc
EXPRESS_SAVER,9,1.0,16.97,Doc
EXPRESS_SAVER,10,1.0,20.08,Doc
EXPRESS_SAVER,11,1.0,25.1,Doc
EXPRESS_SAVER,12,1.0,30.94,Doc
EXPRESS_SAVER,13,1.0,31.2,Doc
EXPRESS_SAVER,703,1.0,119.95,Doc
EXPRESS_SAVER,11,1.0,19.3,Doc
EXPRESS_SAVER,12,1.0,20.62,Doc
EXPRESS_SAVER,13,1.0,20.8,Doc
EXPRESS_SAVER,703,1.0,11.99,Doc
EXPRESS_SAVER,6,1.5,23.0,Doc
EXPRESS_SAVER,7,1.5,24.22,Doc
EXPRESS_SAVER,8,1.5,35.63,Doc
EXPRESS_SAVER,9,1.5,18.81,Doc
EXPRESS_SAVER,10,1.5,22.95,Doc
EXPRESS_SAVER,11,1.5,28.76,Doc
EXPRESS_SAVER,12,1.5,35.63,Doc
EXPRESS_SAVER,13,1.5,37.05,Doc
EXPRESS_SAVER,703,1.5,133.45,Doc
EXPRESS_SAVER,11,1.5,22.12,Doc
EXPRESS_SAVER,12,1.5,23.75,Doc
EXPRESS_SAVER,13,1.5,24.7,Doc
EXPRESS_SAVER,703,1.5,13.34,Doc
EXPRESS_SAVER,6,2.0,24.97,Doc
EXPRESS_SAVER,7,2.0,26.25,Doc
EXPRESS_SAVER,8,2.0,41.34,Doc
EXPRESS_SAVER,9,2.0,20.68,Doc
EXPRESS_SAVER,10,2.0,25.82,Doc
EXPRESS_SAVER,11,2.0,32.44,Doc
EXPRESS_SAVER,12,2.0,40.33,Doc
EXPRESS_SAVER,13,2.0,42.9,Doc
EXPRESS_SAVER,703,2.0,147.1,Doc
EXPRESS_SAVER,11,2.0,24.95,Doc
EXPRESS_SAVER,12,2.0,26.89,Doc
EXPRESS_SAVER,13,2.0,28.6,Doc
EXPRESS_SAVER,703,2.0,14.71,Doc
EXPRESS_SAVER,6,2.5,25.99,Doc
EXPRESS_SAVER,7,2.5,28.3,Doc
EXPRESS_SAVER,8,2.5,47.05,Doc
EXPRESS_SAVER,9,2.5,22.51,Doc
EXPRESS_SAVER,10,2.5,28.71,Doc
EXPRESS_SAVER,11,2.5,36.09,Doc
EXPRESS_SAVER,12,2.5,45.04,Doc
EXPRESS_SAVER,13,2.5,48.73,Doc
EXPRESS_SAVER,703,2.5,160.55,Doc
EXPRESS_SAVER,11,2.5,27.76,Doc
EXPRESS_SAVER,12,2.5,30.02,Doc
EXPRESS_SAVER,13,2.5,32.49,Doc
EXPRESS_SAVER,703,2.5,16.05,Doc
EXPRESS_SAVER,3,0.5,8.6,Pkg
EXPRESS_SAVER,4,0.5,8.6,Pkg
EXPRESS_SAVER,5,0.5,15.3,Pkg
EXPRESS_SAVER,8,0.5,20.9,Pkg
EXPRESS_SAVER,51,0.5,11.96,Pkg
EXPRESS_SAVER,52,0.5,11.94,Pkg
EXPRESS_SAVER,505,0.5,119.1,Pkg
EXPRESS_SAVER,6,0.5,21.59,Pkg
EXPRESS_SAVER,7,0.5,24.76,Pkg
EXPRESS_SAVER,8,0.5,20.9,Pkg
EXPRESS_SAVER,9,0.5,14.0,Pkg
EXPRESS_SAVER,10,0.5,14.0,Pkg
EXPRESS_SAVER,11,0.5,20.9,Pkg
EXPRESS_SAVER,12,0.5,20.9,Pkg
EXPRESS_SAVER,13,0.5,20.89,Pkg
EXPRESS_SAVER,703,0.5,20.9,Pkg
EXPRESS_SAVER,11,0.5,19.26,Pkg
EXPRESS_SAVER,12,0.5,20.03,Pkg
EXPRESS_SAVER,13,0.5,20.97,Pkg
EXPRESS_SAVER,703,0.5,13.0,Pkg
EXPRESS_SAVER,3,1.0,8.61,Pkg
EXPRESS_SAVER,4,1.0,8.61,Pkg
EXPRESS_SAVER,5,1.0,17.17,Pkg
EXPRESS_SAVER,8,1.0,20.91,Pkg
EXPRESS_SAVER,51,1.0,12.47,Pkg
EXPRESS_SAVER,52,1.0,14.7,Pkg
EXPRESS_SAVER,505,1.0,132.7,Pkg
EXPRESS_SAVER,6,1.0,25.87,Pkg
EXPRESS_SAVER,7,1.0,27.16,Pkg
EXPRESS_SAVER,8,1.0,20.91,Pkg
EXPRESS_SAVER,9,1.0,13.99,Pkg
EXPRESS_SAVER,10,1.0,13.99,Pkg
EXPRESS_SAVER,11,1.0,20.91,Pkg
EXPRESS_SAVER,12,1.0,20.91,Pkg
EXPRESS_SAVER,13,1.0,20.89,Pkg
EXPRESS_SAVER,703,1.0,20.9,Pkg
EXPRESS_SAVER,11,1.0,22.7,Pkg
EXPRESS_SAVER,12,1.0,24.39,Pkg
EXPRESS_SAVER,13,1.0,25.02,Pkg
EXPRESS_SAVER,703,1.0,14.34,Pkg
EXPRESS_SAVER,3,1.5,10.38,Pkg
EXPRESS_SAVER,4,1.5,10.4,Pkg
EXPRESS_SAVER,5,1.5,19.0,Pkg
EXPRESS_SAVER,8,1.5,26.46,Pkg
EXPRESS_SAVER,51,1.5,12.46,Pkg
EXPRESS_SAVER,52,1.5,16.85,Pkg
EXPRESS_SAVER,505,1.5,146.4,Pkg
EXPRESS_SAVER,6,1.5,27.73,Pkg
EXPRESS_SAVER,7,1.5,29.58,Pkg
EXPRESS_SAVER,8,1.5,26.46,Pkg
EXPRESS_SAVER,9,1.5,26.45,Pkg
EXPRESS_SAVER,10,1.5,26.45,Pkg
EXPRESS_SAVER,11,1.5,26.46,Pkg
EXPRESS_SAVER,12,1.5,26.44,Pkg
EXPRESS_SAVER,13,1.5,26.46,Pkg
EXPRESS_SAVER,703,1.5,26.45,Pkg
EXPRESS_SAVER,11,1.5,25.71,Pkg
EXPRESS_SAVER,12,1.5,27.51,Pkg
EXPRESS_SAVER,13,1.5,29.08,Pkg
EXPRESS_SAVER,703,1.5,15.7,Pkg
EXPRESS_SAVER,3,2.0,10.39,Pkg
EXPRESS_SAVER,4,2.0,10.39,Pkg
EXPRESS_SAVER,5,2.0,20.86,Pkg
EXPRESS_SAVER,8,2.0,26.44,Pkg
EXPRESS_SAVER,51,2.0,13.56,Pkg
EXPRESS_SAVER,52,2.0,19.1,Pkg
EXPRESS_SAVER,505,2.0,160.2,Pkg
EXPRESS_SAVER,6,2.0,29.64,Pkg
EXPRESS_SAVER,7,2.0,31.96,Pkg
EXPRESS_SAVER,8,2.0,26.44,Pkg
EXPRESS_SAVER,9,2.0,26.44,Pkg
EXPRESS_SAVER,10,2.0,26.45,Pkg
EXPRESS_SAVER,11,2.0,26.44,Pkg
EXPRESS_SAVER,12,2.0,26.44,Pkg
EXPRESS_SAVER,13,2.0,26.44,Pkg
EXPRESS_SAVER,703,2.0,26.44,Pkg
EXPRESS_SAVER,11,2.0,28.68,Pkg
EXPRESS_SAVER,12,2.0,30.67,Pkg
EXPRESS_SAVER,13,2.0,33.17,Pkg
EXPRESS_SAVER,703,2.0,17.06,Pkg
EXPRESS_SAVER,3,2.5,10.39,Pkg
EXPRESS_SAVER,4,2.5,10.39,Pkg
EXPRESS_SAVER,5,2.5,22.83,Pkg
EXPRESS_SAVER,8,2.5,26.46,Pkg
EXPRESS_SAVER,51,2.5,13.54,Pkg
EXPRESS_SAVER,52,2.5,21.37,Pkg
EXPRESS_SAVER,505,2.5,173.85,Pkg
EXPRESS_SAVER,6,2.5,30.32,Pkg
EXPRESS_SAVER,7,2.5,34.4,Pkg
EXPRESS_SAVER,8,2.5,26.46,Pkg
EXPRESS_SAVER,9,2.5,26.45,Pkg
EXPRESS_SAVER,10,2.5,26.44,Pkg
EXPRESS_SAVER,11,2.5,26.45,Pkg
EXPRESS_SAVER,12,2.5,26.44,Pkg
EXPRESS_SAVER,13,2.5,26.46,Pkg
EXPRESS_SAVER,703,2.5,26.44,Pkg
EXPRESS_SAVER,11,2.5,31.68,Pkg
EXPRESS_SAVER,12,2.5,33.81,Pkg
EXPRESS_SAVER,13,2.5,37.22,Pkg
EXPRESS_SAVER,703,2.5,18.41,Pkg
EXPRESS_SAVER,3,3.0,10.4,Doc & Pkg
EXPRESS_SAVER,4,3.0,10.4,Doc & Pkg
EXPRESS_SAVER,5,3.0,23.83,Doc & Pkg
